assessid,assessorid,stockid,stocklong,recorder,daterecorded,dateloaded,assessyear,assesssource,contacts,notes,pdffile,assess,refpoints,assessmethod,assesscomments,xlsfilename,mostrecent
NAFO-SC-AMPL3LNO-1955-2007-BAUM,NAFO-SC,AMPL3LNO,American Plaice NAFO-3LNO,BAUM,4/7/2008,8/1/2012,1955-2007,http://www.nafo.int/publications/frames/science.html,"Karen Dwyer, DwyerK@DFO-MPO.GC.CA; Joanne Morgan","No directed fishing since 1993, but still caught as bycatch",NAFO-GrandBanks-AmPlaice-2007.pdf,1,1,VPA,"Blim is not the lowest observed SSB, but rather SSB below which there is no _good_ recruitment",../spreadsheets/BAUM-AMPL3LNO-2007-editedDR-QAQC.xls,
NAFO-SC-AMPL3M-1960-2007-BAUM,NAFO-SC,AMPL3M,American Plaice NAFO-3M,BAUM,5/28/2009,8/1/2012,1960-2007,http://www.nafo.int/publications/frames/science.html,,"SSB-1 and R-1 are both taken from the EU surveys (Table 14) while SSB-2, R-2, F and total biomass are all taken from the XSA (Table 17). The SSB was calculated using 50% of the age 5 fish and the age 6+ fish.",,1,1,XSA,no comments,../spreadsheets/BAUM-AMPL3M-2008-editedDR.xls,999
DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE,DFO-NFLD,AMPL3Ps,American Plaice NAFO-3Ps,PREFONTAINE,7/4/2008,8/1/2012,1960-2005,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details,For the recruitment time series the data from 1983 to 1995 are Campelen equivalents due to changes in fishing gear.,,0,1,Unknown,no comments,../spreadsheets/PREFONTAINE-AMPL3Ps-2005-editedRP.xls,999
NEFSC-AMPL5YZ-1960-2008-OBRIEN,NEFSC,AMPL5YZ,American Plaice NAFO-5YZ,OBRIEN,12/12/2008,8/1/2012,1960-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/garm3h.pdf,,This stock (American plaice ) covers NAFO areas 5Y and 5Ze.,,1,1,ADAPT,"Base model with rho adjustment was chosen as final assessment model by GARM review panel. Fully recruited F was 5 in previous assessments, is now 6.",../spreadsheets/OBRIEN-APGMGB-2008-editedDR.xls,999
CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI,CNR-IAMC,ANCHMEDGSA16,Anchovy South of Sicily,BANOBI,5/14/2014,1/1/2002,1998-2011,http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html,NULL,time series obtained from figures using PlotDigitizer.,2012_ANE_GSA16_CNR-IAMC.pdf,1,1,NELOG,the assessment also uses an acoustic survey index aproach; neither this nor the surplus production are indicated as preferred.,/home/srdbadmin/srdb/spreadsheets/BANOBI-ANCHMEDGSA16-2011-DH-edited.xls,999
GRP3-ANCHMEDGSA17-2000-2011-BANOBI,GRP3,ANCHMEDGSA17,Anchovy Northern Adriatic Sea,BANOBI,5/15/2014,1/1/2002,2000-2011,http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html,NULL,"ICA basic time series, VPA alternate time series",2012_ANE_GSA17_CNR-ISMAR_IZOR_FRIS_ADRIAMED.pdf,1,1,ICA,Assessment also uses VPA; neither the VPA or ICA is indicated as preferable. ,/home/srdbadmin/srdb/spreadsheets/BANOBI-ANCHMEDGSA17-2011-DH-edited.xls,999
IFREMER-ANCHMEDGSA7-1993-2012-BANOBI,IFREMER,ANCHMEDGSA7,Anchovy Gulf of Lions,BANOBI,5/14/2014,1/1/2002,1993-2012,http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html,NULL,NULL,2012_ANE_GSA07_IFREMER.PDF,1,1,Acoustic,NULL,/home/srdbadmin/srdb/spreadsheets/BANOBI-ANCHMEDGSA7-2012-DH-edited.xls,999
WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,WGMHSA,ANCHOBAYB,Anchovy ICES VIII,JENNINGS,11/21/2008,8/1/2012,1986-2007,http://www.ices.dk,NULL,NULL,,1,1,BBM,fa,../spreadsheets/JENNINGS-ICES-ANEBISC-1987-2007-editedDR-QAQC.xls,999
MARAM-ANCHOSA-1984-2011-deMoor,MARAM,ANCHOSA,Anchovy South Africa,deMoor,9/30/2013,12/31/2001,1984-2011,www.mth.uct.ac.za/maram/pub/2012/FISHERIES_2012_SEP_SWG-PEL_47.pdf,Carryn de Moor (c.l.demoor@telkomsa.net),"The time series of proportion-at-age 1 in the November survey is output from a Bayesian analysis of the survey length distributions (de Moor C.L., Butterworth, D.S., and Coetzee, J.C. 2013 Can anchovy age structure be estimated from length distribution da",FISHERIES_2012_SEP_SWG-PEL_47.pdf,1,1,ASPM,NULL,/home/srdbadmin/srdb/spreadsheets/deMoor-ANCHOSA-2013-DH-edited.xls,999
CSERG-ANCHOVYKILKACS-1991-2007-JENSEN,CSERG,ANCHOVYKILKACS,Anchovy kilka Caspian Sea,JENSEN,1/14/2011,8/1/2012,1991-2007,received from contact,fazlihasan@gmail.com,applies to Iranian waters of the Caspian Sea - may not be the entire stock,,1,1,AAPM,Biomass estimated from unknown method in Fazli 2007. MSY estimated using Schaefer model,../spreadsheets/JENSEN-ANCHOVYKILKACS-2007-editedDR.xls,999
FAO-SPNWA-ANCHOWA-1990-2010-CHING,FAO-SPNWA,ANCHOWA,Anchovy West Africa,CHING,10/22/2013,1/1/2002,1990-2010,NULL,NULL,NULL,FAO West African Pelagics North 2011.pdf,1,1,UnknownYPRM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ANCHOWA-2010-DH-edited.xls,999
CNR-IAMC-ANGLMEDGSA15-16-2008-2010-BANOBI,CNR-IAMC,ANGLMEDGSA15-16,Black Bellied Angler Malta Island and South of Sicily,BANOBI,5/23/2014,1/1/2002,2008-2010,http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html,NULL,time series are only two years long,2012_ANK_GSA15-16_CNR_IAMC_MRRA.pdf,1,1,VIT,Model assumptions are a steady state (pseudocohort) cohort (VPA) analysis.,/home/srdbadmin/srdb/spreadsheets/BANOBI-ANGLMEDGSA15-16-2011-DH-edited.xls,999
FAJ-APOLLPJPN-1981-2009-ONO,FAJ,APOLLPJPN,Alaskan Pollock Pacific Coast of Japan,ONO,1/12/2011,12/31/2001,1981-2009,http://abchan.job.affrc.go.jp/digests22/details/2213.pdf,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-APOLLPJPN-2009-DH-edited.xls,999
AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,AFSC,ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,STACHURA,5/5/2011,8/15/2012,1970-2010,http://www.afsc.noaa.gov/REFM/docs/2010/BSAIatf.pdf,"Thomas Wilderbuer,  tom.wilderbuer@noaa.gov",NULL,,1,1,AD-CAM,NULL,/home/srdbadmin/srdb/spreadsheets/STACHURA-ARFLOUNDBSAI-2010-DH-edited.xls,999
AFSC-ARFLOUNDGA-1958-2010-STACHURA,AFSC,ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,STACHURA,3/29/2011,1/10/2013,1958-2010,http://www.afsc.noaa.gov/REFM/docs/2010/GOAatf.pdf,"Benjamin Turnock, jack.turnock@noaa.gov",NULL,,1,1,AD-CAM,2010 assessment was only an update. full assessment conducted in 2009. filename: AFSC-ARFLOUNDGA-2009.pdf,/home/srdbadmin/srdb/spreadsheets/STACHURA-ARFLOUNDGA-2010-DH-edited.xls,999
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,NWFSC,ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,BRANCH,11/19/2008,8/1/2012,1916-2007,http://www.pcouncil.org/groundfish/gfsafe1008/ArrowtoothAssess_Aug22.pdf,,,,1,1,SS2,,../spreadsheets/BRANCH-ARFLOUNDPCOAST-2007-editedDR-QAQC.xls,999
INIDEP-ARGANCHONARG-1989-2007-Parma,INIDEP,ARGANCHONARG,Argentine anchoita Northern Argentina,Parma,12/20/2008,8/1/2012,1989-2007,URL,Jorge Hansen- jhansen@inidep.edu.ar,,,1,1,ADAPT,no comments,../spreadsheets/Parma-ANCHOVY-ARG-N-2007-editedDR-QAQC.xls,999
INIDEP-ARGANCHOSARG-1992-2007-Parma,INIDEP,ARGANCHOSARG,Argentine anchoita Southern Argentina,Parma,12/20/2008,8/1/2012,1992-2007,URL,Jorge Hansen- jhansen@inidep.edu.ar,,,1,1,ASPM,no comments,../spreadsheets/Parma-ANCHOVY-ARG-S-2007-editedDR-QAQC.xls,999
INIDEP-ARGHAKENARG-1986-2011-CHING,INIDEP,ARGHAKENARG,Argentine hake Northern Argentina,CHING,2/6/2013,8/23/2013,1986-2011,NULL,NULL,NULL,Hake North inftec_037_12.pdf,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ARGHAKENARG-2012-DH-edited.xls,999
INIDEP-ARGHAKESARG-1990-2011-CHING,INIDEP,ARGHAKESARG,Argentine hake Southern Argentina,CHING,2/6/2013,8/23/2013,1990-2011,NULL,NULL,NULL,Hake South inftec_038_12.pdf,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ARGHAKESARG-2012-DH-edited.xls,999
ICCAT-ATBTUNAEATL-1950-2010-CHING,ICCAT,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,CHING,9/25/2012,12/4/2012,1950-2010,www.iccat.int/Documents/Meetings/Docs/2010_BFT_ASSESS_REP_ENG.pdf,Jean-Marc Fromentin (Jean.Marc.Fromentin@ifremer.fr),NULL,Report-of-the-2010-Atlantic-bluefin-tuna-stock-assessment-session.,1,1,ADAPT,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ATBTUNAEATL-2012-DH-edited.xls,999
ICCAT-ATBTUNAWATL-1950-2010-CHING,ICCAT,ATBTUNAWATL,Bluefin tuna Western Atlantic,CHING,9/25/2012,11/22/2012,1950-2010,www.iccat.int/Documents/Meetings/Docs/2010_BFT_ASSESS_REP_ENG.pdf,Jean-Marc Fromentin (Jean.Marc.Fromentin@ifremer.fr),NULL,Report-of-the-2010-Atlantic-bluefin-tuna-stock-assessment-session.,1,1,ADAPT,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ATBTUNAWATL-2012-DH-edited.xls,999
NEFSC-ATHAL5YZ-1800-2007-COL,NEFSC,ATHAL5YZ,Atlantic Halibut NAFO-5YZ,COL,4/15/2009,8/1/2012,1800-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,Stock under rebuilding program with 2056 deadline.,,1,1,Unknown,"Replacement Yield Model (simple production model), assumed linear increase in catch from 10 to 6000 mt during years 1800 to 1892",../spreadsheets/COL-ATLHALIBUT-2008-editedDR.xls,999
AFSC-ATKABSAI-1976-2011-STACHURA,AFSC,ATKABSAI,Atka mackerel Bering Sea and Aleutian Islands,STACHURA,5/12/2011,8/15/2012,1976-2011,http://www.afsc.noaa.gov/REFM/docs/2010/BSAIatka.pdf,"Sandra Lowe, sandra.lowe@noaa.gov",,,1,1,AD-CAM,no comments,/home/srdbadmin/srdb/spreadsheets/STACHURA-ATKABSAI-2010-DH-edited.xls,999
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,ASMFC,ATLCROAKMATLC,Atlantic croaker Mid-Atlantic Coast,STANTON,8/13/2009,8/1/2012,1973-2002,http://www.asmfc.org/,contact details,,,1,1,AD-CAM,no comments,../spreadsheets/STANTON-MATLCROAK-2004-editedDR.xls,999
CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,CCAMLR,ATOOTHFISHRS,Antarctic toothfish Ross Sea,JENSEN,4/7/2009,8/1/2012,1995-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,Model run: 2007 reference,,1,0,CASAL,Model run: 2007 reference,../spreadsheets/JENSEN-TOOTHFISHRS-2007-v2-editedDR.xls,999
NIWA-AUSSALMONNZ-1975-2006-JENSEN,NIWA,AUSSALMONNZ,Australian salmon New Zealand,JENSEN,3/11/2009,8/1/2012,1975-2006,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,"average of four model runs - no best or base model available, total biomass is from the middle of the fishing year, SSB is mid-spawn",,1,1,CASAL,,../spreadsheets/JENSEN-KAHNZ-2006-editedDR.xls,999
CBP-BCRABCHESB-1990-2010-HIVELY,CBP,BCRABCHESB,Blue Crab Chesapeake Bay,HIVELY,8/20/2013,8/23/2013,1990-2010,NULL,NULL,NULL,BlueCrab_CB_assessment_2011.pdf,1,1,SSCMSA,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-BCRABCHESB-2010-DH-edited.xls,999
FAO-DRSS-BCROAKWASG1-1994-2007-CHING,FAO-DRSS,BCROAKWASG1,Bobo croaker West Africa Subgroup 1,CHING,1/22/2014,1/1/2002,1994-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BCROAKWASG1-2007-DH-edited.xls,999
ABARES-BGRDRSE-1960-2011-CHING,ABARES,BGRDRSE,Blue Grenadier Southeast Australia,CHING,2/20/2013,8/23/2013,1960-2011,http://adl.brs.gov.au/data/warehouse/9aam/fsrXXd9abm_/fsr11d9abm_0022011/00_FishStatus2011_1.0.0.pdf,NULL,NULL,00_FishStatus2011_1.0.0,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BGRDRSE-2012-DH-edited.xls,999
NWFSC-BGROCKPCOAST-1950-2011-STACHURA,NWFSC,BGROCKPCOAST,Blackgill rockfish  Pacific Coast,STACHURA,12/23/2011,8/28/2012,1950-2011,http://www.pcouncil.org/wp-content/uploads/G4a_ATT13_STATUS_BLACKGILL_SEPT2011BB.pdf,"John Field, John.Field@noaa.gov",NULL,NWFSC-BGROCKPCOAST-2011.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/NWFSC-BGROCKPCOAST-2011-DH-edited.xls,999
FAO-DRSS-BGRUNTWASG2-1990-2006-CHING,FAO-DRSS,BGRUNTWASG2,Bigeye Grunt West Africa Subgroup 2,CHING,1/22/2014,1/1/2002,1990-2006,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BGRUNTWASG2-2006-DH-edited.xls,999
FAO-DRSS-BGRUNTWASG3-1995-2007-CHING,FAO-DRSS,BGRUNTWASG3,Bigeye Grunt West Africa Subgroup 3,CHING,1/22/2014,1/1/2002,1995-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BGRUNTWASG3-2007-DH-edited.xls,999
FAO-DRSS-BHAKEWASG3-1995-2007-CHING,FAO-DRSS,BHAKEWASG3,Benguela Hake West Africa Subgroup 3,CHING,1/22/2014,1/1/2002,1995-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BHAKEWASG3-2007-DH-edited.xls,999
SEFSC-BHEADSHARATL-1950-2011-HIVELY,SEFSC,BHEADSHARATL,Bonnethead shark Atlantic,HIVELY,12/28/2014,1/1/2002,1950-2011,http://www.sefsc.noaa.gov/sedar/download/S34_Bonnethead_SAR.pdf?id=DOCUMENT,NULL,NULL,BHEADSHARATL-2013,1,1,ASPM,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-BHEADSHARATL-2013-DH-edited.xls,999
ICCAT-BIGEYEATL-1950-2010-CHING,ICCAT,BIGEYEATL,Bigeye tuna Atlantic,CHING,9/25/2012,11/22/2012,1950-2010,www.iccat.int/Documents/Meetings/Docs/2010_BET_Assessment_REP_ENG.pdf,Laurie Kell,"Data provided directly from Laurie Kell. Not clear which model used for these results or if a combination of models were used, but likely to be ASPIC results.","Report-of-the-2010-ICCAT-bigeye-tuna-stock-assessment-session-(Pasaia, Gipuzkoa, Spain - July 5 to 9, 2010).",1,1,ASPIC,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BIGEYEATL-2012-DH-edited.xls,999
SPC-BIGEYECWPAC-1952-2010-CHING,SPC,BIGEYECWPAC,Bigeye tuna Central Western Pacific,CHING,9/25/2012,12/4/2012,1952-2010,www.wcpfc.int/doc/sa-wp-02/stock-assessment-bigeye-tuna-western-and-central-pacific-ocean,NULL,NULL,WCPFC-SC7-2011/SA-WP-02-Stock-assessment-of-bigeye-tuna-in-the-Western-and-Central-Pacific-Ocean.,1,1,MULTIFAN-CL,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BIGEYECWPAC-2012-DH-edited.xls,999
IATTC-BIGEYEEPAC-1975-2011-BRANCH,IATTC,BIGEYEEPAC,Bigeye tuna Eastern Pacific,BRANCH,7/18/2011,8/15/2012,1975-2011,http://www.iattc.org/Meetings2011/May-SAC-Shark/PDFfiles/SAC-02-07-BET-assessment-2010.pdf,"Alexandre da Silva, alexdasilva@iattc.org",Jensen spreadsheet edited by Branch,,1,1,SS3,no comments,/home/srdbadmin/srdb/spreadsheets/new-BETEPAC-BRANCH-BETEPAC-2011-DH-edited.xls,999
IOTC-BIGEYEIO-1950-2010-CHING,IOTC,BIGEYEIO,Bigeye tuna Indian Ocean,CHING,9/28/2012,11/22/2012,1950-2010,www.iotc.org/files/proceedings/2010/wptt/IOTC-2010-WPTT-04.pdf,Tom Nishida (aco20320@par.odn.ne.jp),NULL,IOTC-2010-WPTT-04-Exploration-of-Indian-Ocean-bigeye-tuna-stock-assessment-sensitivities-1952-2008.,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BIGEYEIO-2012-DH-edited.xls,999
SPC-BIGEYEWPO-1952-2006-JENSEN,SPC,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,JENSEN,10/30/2008,8/1/2012,1952-2006,http://www.wcpfc.int/sc4/pdf/SC4-SA-WP1-rev.1%20%5BBET%20Assessment%5D.pdf,"Simon Hoyle (SimonH@spc.int), John Hampton (JohnH@spc.int)","data are from MULTIFAN-CL output files, not the assessment document",,1,1,MULTIFAN-CL,Simon Hoyle says: I would not use these results for SRR [stock-recruit analysis] because I do not trust the recruitment trends,../spreadsheets/JENSEN-BETWPO-2008-editedDR-OJ-QAQC.xls,999
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,Bight redfish Southeast Australia,FULTON,4/30/2008,8/1/2012,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,999
NIWA-BKCDLFENI-1923-2009-CORDUE,NIWA,BKCDLFENI,Black cardinalfish East coast of North Island,CORDUE,6/28/2012,9/21/2012,1923-2009,http://fs.fish.govt.nz/Doc/22050/09_39_FAR.pdf.ashx,Matthew Dunn <Matthew.Dunn@niwa.co.nz>,NULL,09_39_FAR.pdf,1,1,CASAL,Assessment for QMAs CDL2-4,/home/srdbadmin/srdb/spreadsheets/CORDUE-CDLNZ-2012-DH-edited.xls,999
AFSC-BKINGCRABPI-1960-2008-JENSEN,AFSC,BKINGCRABPI,Blue king crab Pribilof Islands,JENSEN,4/13/2009,8/1/2012,1960-2008,http://www.fakr.noaa.gov/npfmc/membership/plan_teams/CPT/CRABSAFE2008.pdf,,,,0,1,Survey indices,,../spreadsheets/JENSEN-BKINGCRABPI-2008-editedDR-QAQC.xls,999
AFSC-BKINGCRABSMI-1960-2008-JENSEN,AFSC,BKINGCRABSMI,Blue king crab Saint Matthews Island,JENSEN,4/13/2009,8/1/2012,1960-2008,http://www.fakr.noaa.gov/npfmc/membership/plan_teams/CPT/CRABSAFE2008.pdf,,,,0,1,Survey indices,,../spreadsheets/JENSEN-BKINGCRABSMI-2008-editedDR-QAQC.xls,999
SEFSC-BLACKGROUPERGMSATL-1986-2008-THORSON,SEFSC,BLACKGROUPERGMSATL,Black Grouper Gulf of Mexico and South Atlantic,THORSON,1/14/2011,12/31/2001,1986-2008,http://www.sefsc.noaa.gov/sedar/Sedar_Workshops.jsp?WorkshopNum=19,NULL,Catch includes landings and discards from recreational and commercial gears,Black_SAR_FINAL.pdf,1,1,ASAP,"This species is a protogynous hermaphrodie, so pay attention to notes regarding sex-specific values. ",/home/srdbadmin/srdb/spreadsheets/HIVELY-BLACKGROUPERGMSATL-2008-DH-edited.xls,999
NIWA-BLACKOREOPR-1974-2009-CORDUE,NIWA,BLACKOREOPR,Black Oreo Pukaki Rise,CORDUE,8/10/2012,9/30/2012,1974-2009,http://fs.fish.govt.nz/Doc/23035/10_39_FAR.pdf.ashx,Ian Doonan <Ian.Doonan@niwa.co.nz>,NULL,10_39_FAR.pdf,1,1,CASAL,Pukaki Rise assessment,/home/srdbadmin/srdb/spreadsheets/CORDUE-BLACKOREOPRNZ-2012-DH-edited.xls,999
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,NZMFishDEEPWATER,BLACKOREOWECR,Black oreo West end of Chatham Rise,JENSEN,4/7/2009,8/1/2012,1973-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,Run 2,,1,1,CASAL,Run 2,../spreadsheets/JENSEN-BLACKOREOWECR-2007-v2-editedDR.xls,999
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,NWFSC,BLACKROCKNPCOAST,Black rockfish Northern Pacific Coast,BRANCH,11/20/2008,8/1/2012,1914-2006,http://www.pcouncil.org/groundfish/gfsafe1008/N_BlackRF_07_FullDoc_INCOMPLETE.pdf,,,,1,1,SS2,,../spreadsheets/BRANCH-BLACKROCKNPCOAST-2007-editedDR-QAQC-revised.xls,999
NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,NWFSC,BLACKROCKSPCOAST,Black rockfish Southern Pacific Coast,BRANCH,11/19/2008,8/1/2012,1915-2007,http://www.pcouncil.org/groundfish/gfsafe1008/BLCK_S_07_FullDoc.pdf,David Sampson david.sampson@oregonstate.edu,,,1,1,SS2,,../spreadsheets/BRANCH-BLACKROCKSPCOAST-2007-editedDR-QAQC.xls,999
